epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3868.26,0.44593,0.52091,0.9839,0.74363,0.85577,0.75014,0.67661,0.40413,0.69825,0.88039,0.008614,0.008614,0.008614
44,3958.16,0.45018,0.52959,0.98115,0.72038,0.898,0.73932,0.66925,0.41509,0.70237,0.89661,0.008581,0.008581,0.008581
45,4048.17,0.44179,0.52019,0.97898,0.73824,0.86101,0.75099,0.67344,0.41008,0.69994,0.89017,0.008548,0.008548,0.008548
46,4138.12,0.43644,0.51474,0.97606,0.70126,0.9399,0.7462,0.67497,0.42227,0.70213,0.91534,0.008515,0.008515,0.008515
47,4228.09,0.43122,0.51057,0.97096,0.76398,0.88462,0.75148,0.67554,0.41531,0.70066,0.90583,0.008482,0.008482,0.008482
48,4318.1,0.42014,0.50166,0.96539,0.7318,0.83956,0.7419,0.66165,0.41117,0.71436,0.89323,0.008449,0.008449,0.008449
49,4408.03,0.42577,0.50532,0.96978,0.72294,0.86559,0.74035,0.66922,0.42251,0.69762,0.91946,0.008416,0.008416,0.008416
50,4497.86,0.42162,0.49891,0.96316,0.74161,0.8726,0.75334,0.68738,0.40554,0.65782,0.90199,0.008383,0.008383,0.008383
51,4587.84,0.4135,0.50148,0.95986,0.72771,0.89183,0.744,0.6685,0.43318,0.70214,0.93357,0.00835,0.00835,0.00835
52,4677.76,0.41322,0.50175,0.96227,0.73295,0.9039,0.75256,0.685,0.40818,0.64403,0.91718,0.008317,0.008317,0.008317
53,4767.9,0.41645,0.49176,0.96462,0.69052,0.91181,0.74759,0.67528,0.41042,0.69582,0.88335,0.008284,0.008284,0.008284
54,4857.84,0.40901,0.48652,0.95699,0.71419,0.9399,0.74573,0.6756,0.39587,0.65291,0.89572,0.008251,0.008251,0.008251
55,4947.88,0.40696,0.48972,0.95839,0.72447,0.91346,0.75788,0.68035,0.39071,0.67428,0.89943,0.008218,0.008218,0.008218
56,5037.84,0.40305,0.48004,0.95422,0.74942,0.88702,0.75157,0.68384,0.3934,0.67723,0.91038,0.008185,0.008185,0.008185
57,5127.68,0.40203,0.48456,0.95551,0.73111,0.92788,0.7543,0.68922,0.38941,0.6448,0.89391,0.008152,0.008152,0.008152
58,5217.62,0.39852,0.48253,0.95335,0.74235,0.90385,0.75215,0.67709,0.38099,0.66977,0.90265,0.008119,0.008119,0.008119
